collection_object_id,guid,species,country,state,locality,lat,long,elevation,life_stage,examined_for,detected,not_detected,presence,absence
33406621,UNCG:Mamm:1219,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35348902,-114.65073,2387,adult,ectoparasite,ectoparasite, ,1, 
33406653,UNCG:Mamm:1255,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35372103,-114.650699,2313,adult,ectoparasite,ectoparasite, ,1, 
33406641,UNCG:Mamm:1236,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35431103,-114.650697,2564,adult,ectoparasite,ectoparasite, ,1, 
33406639,UNCG:Mamm:1231,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35470599,-114.650674,2707,adult,ectoparasite,ectoparasite, ,1, 
33406673,UNCG:Mamm:1264,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35359304,-114.650584,2621,adult,ectoparasite,ectoparasite, ,1, 
33406647,UNCG:Mamm:1239,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35469199,-114.650573,2512,subadult,ectoparasite,,ectoparasite  ,,0
33406662,UNCG:Mamm:1246,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35332297,-114.65054,2473,adult,ectoparasite,,ectoparasite  ,,0
33406674,UNCG:Mamm:1267,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35376302,-114.650492,2457,adult,ectoparasite,ectoparasite, ,1, 
33406640,UNCG:Mamm:1234,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35373503,-114.650473,2404,adult,ectoparasite,ectoparasite, ,1, 
33406649,UNCG:Mamm:1233,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35373503,-114.650473,2404,adult,ectoparasite,,ectoparasite  ,,0
33406667,UNCG:Mamm:1261,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35466299,-114.650333,2481,juvenile,ectoparasite,ectoparasite, ,1, 
33406650,UNCG:Mamm:1232,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35385296,-114.650268,2404,adult,ectoparasite,,ectoparasite  ,,0
33406596,UNCG:Mamm:1187,Callospermophilus lateralis,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.401993,-114.650249,2497,adult,ectoparasite,,ectoparasite  ,,0
33406676,UNCG:Mamm:1268,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35330797,-114.650134,2639,adult,ectoparasite,ectoparasite, ,1, 
33406685,UNCG:Mamm:1274,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.354521,-114.64992,2473,adult,ectoparasite,,ectoparasite  ,,0
33406630,UNCG:Mamm:1216,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35448001,-114.649853,2469,subadult,ectoparasite,ectoparasite, ,1, 
33406670,UNCG:Mamm:1270,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35452301,-114.649812,2478,juvenile,ectoparasite,ectoparasite, ,1, 
33406882,UNCG:Mamm:1252,Thomomys talpoides,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35392697,-114.649769,,adult,ectoparasite,ectoparasite, ,1, 
33406699,UNCG:Mamm:1273,Perognathus parvus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.354003,-114.64925,2465,adult,ectoparasite,,ectoparasite  ,,0
33406633,UNCG:Mamm:1222,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35404097,-114.649197,2472,adult,ectoparasite,ectoparasite, ,1, 
33406643,UNCG:Mamm:1226,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35404901,-114.649195,2473,adult,ectoparasite,,ectoparasite  ,,0
33406688,UNCG:Mamm:1283,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35406704,-114.649166,2513,adult,ectoparasite,,ectoparasite  ,,0
33406652,UNCG:Mamm:1244,Lemmiscus curtatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35409402,-114.649153,2472,adult,ectoparasite,ectoparasite, ,1, 
33406646,UNCG:Mamm:1223,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35409696,-114.649148,2474,adult,ectoparasite,,ectoparasite  ,,0
33406642,UNCG:Mamm:1238,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35407701,-114.649051,2417,subadult,ectoparasite,ectoparasite, ,1, 
33406623,UNCG:Mamm:1227,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.354075,-114.648938,2478,adult,ectoparasite,ectoparasite, ,1, 
33406628,UNCG:Mamm:1211,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.354075,-114.648938,2478,adult,ectoparasite,ectoparasite, ,1, 
33406655,UNCG:Mamm:1242,Lemmiscus curtatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.354118,-114.648811,2480,adult,ectoparasite,ectoparasite, ,1, 
33406697,UNCG:Mamm:1281,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35423099,-114.648543,2516,adult,ectoparasite,,ectoparasite  ,,0
33406654,UNCG:Mamm:1241,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35421003,-114.648477,2486,adult,ectoparasite,ectoparasite, ,1, 
33406684,UNCG:Mamm:1287,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34999804,-114.648249,2463,adult,ectoparasite,ectoparasite, ,1, 
33406660,UNCG:Mamm:1251,Lemmiscus curtatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35423199,-114.648241,2489,adult,ectoparasite,,ectoparasite  ,,0
33406634,UNCG:Mamm:1220,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35423903,-114.648203,2496,subadult,ectoparasite,ectoparasite, ,1, 
33406631,UNCG:Mamm:1217,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34985697,-114.648199,2467,subadult,ectoparasite,ectoparasite, ,1, 
33406686,UNCG:Mamm:1278,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34986896,-114.648182,2465,subadult,ectoparasite,,ectoparasite  ,,0
33406635,UNCG:Mamm:1221,Lemmiscus curtatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35422897,-114.648095,2496,adult,ectoparasite,ectoparasite, ,1, 
33406665,UNCG:Mamm:1249,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35431397,-114.648027,2490,adult,ectoparasite,,ectoparasite  ,,0
33406648,UNCG:Mamm:1237,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35430399,-114.64802,2449,subadult,ectoparasite,,ectoparasite  ,,0
33406656,UNCG:Mamm:1245,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35429402,-114.647989,2494,adult,ectoparasite,ectoparasite, ,1, 
33406638,UNCG:Mamm:1229,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34979201,-114.647985,2469,adult,ectoparasite,ectoparasite, ,1, 
33406694,UNCG:Mamm:1282,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35435797,-114.647886,2519,subadult,ectoparasite,,ectoparasite  ,,0
33406678,UNCG:Mamm:1256,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34977399,-114.647828,2480,adult,ectoparasite,,ectoparasite  ,,0
33406693,UNCG:Mamm:1280,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35433702,-114.647773,2520,adult,ectoparasite,,ectoparasite  ,,0
33406679,UNCG:Mamm:1260,Tamias minimus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35418304,-114.647696,2496,juvenile,ectoparasite,,ectoparasite  ,,0
33406620,UNCG:Mamm:1213,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34974801,-114.64761,2470,subadult,ectoparasite,ectoparasite, ,1, 
33406651,UNCG:Mamm:1243,Perognathus parvus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35402798,-114.647571,2507,adult,ectoparasite,ectoparasite, ,1, 
33406671,UNCG:Mamm:1257,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35400501,-114.647557,2502,adult,ectoparasite,ectoparasite, ,1, 
33406629,UNCG:Mamm:1212,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34980199,-114.647509,2472,subadult,ectoparasite,ectoparasite, ,1, 
33406658,UNCG:Mamm:1247,Lemmiscus curtatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35397701,-114.647493,2504,adult,ectoparasite,,ectoparasite  ,,0
33406691,UNCG:Mamm:1276,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34965698,-114.647476,2467,adult,ectoparasite,,ectoparasite  ,,0
33406661,UNCG:Mamm:1248,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35378901,-114.647389,2507,adult,ectoparasite,,ectoparasite  ,,0
33406636,UNCG:Mamm:1225,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35375104,-114.647375,2518,adult,ectoparasite,ectoparasite, ,1, 
33406666,UNCG:Mamm:1258,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34972202,-114.647359,2482,subadult,ectoparasite,ectoparasite, ,1, 
33406681,UNCG:Mamm:1271,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34969302,-114.647354,2412,adult,ectoparasite,ectoparasite, ,1, 
33406528,UNCG:Mamm:1123,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.34964198,-114.647266,2471,adult,ectoparasite,,ectoparasite  ,,0
33406637,UNCG:Mamm:1228,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34962496,-114.647239,2473,adult,ectoparasite,ectoparasite, ,1, 
33406627,UNCG:Mamm:1214,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34974298,-114.646861,2475,adult,ectoparasite,ectoparasite, ,1, 
33406695,UNCG:Mamm:1279,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34978598,-114.646524,2471,adult,ectoparasite,,ectoparasite  ,,0
33406682,UNCG:Mamm:1272,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34991003,-114.646363,2425,adult,ectoparasite,ectoparasite, ,1, 
33406696,UNCG:Mamm:1288,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.34982101,-114.646214,2472,adult,ectoparasite,,ectoparasite  ,,0
33406663,UNCG:Mamm:1254,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.35982096,-114.644051,2538,adult,ectoparasite,,ectoparasite  ,,0
33406664,UNCG:Mamm:1253,Otospermophilus variegatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 5 km W Taff Peak, Berry Creek",39.349315,-114.644032,2501,adult,ectoparasite,,ectoparasite  ,,0
33406557,UNCG:Mamm:1166,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.40291702,-114.642867,2503,adult,ectoparasite,ectoparasite, ,1, 
33406558,UNCG:Mamm:1148,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.40294803,-114.642849,2527,adult,ectoparasite,,ectoparasite  ,,0
33406602,UNCG:Mamm:3190,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.40300603,-114.642546,2541,adult,ectoparasite,,ectoparasite  ,,0
33406569,UNCG:Mamm:1181,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.40284904,-114.642038,2544,adult,ectoparasite,ectoparasite, ,1, 
33406536,UNCG:Mamm:1138,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.402842,-114.64201,2535,adult,ectoparasite,ectoparasite, ,1, 
33406582,UNCG:Mamm:3196,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.40282197,-114.641792,2544,adult,ectoparasite,ectoparasite, ,1, 
33406547,UNCG:Mamm:1153,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.402943,-114.641613,2519,adult,ectoparasite,ectoparasite, ,1, 
33406612,UNCG:Mamm:1209,Callospermophilus lateralis,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.40299103,-114.641245,2588,adult,ectoparasite,ectoparasite, ,1, 
33406529,UNCG:Mamm:1140,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39977598,-114.629172,2380,adult,ectoparasite,ectoparasite, ,1, 
33406532,UNCG:Mamm:1129,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39996902,-114.629054,2629,adult,ectoparasite,ectoparasite, ,1, 
33406555,UNCG:Mamm:1162,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39994002,-114.629003,2661,adult,ectoparasite,ectoparasite, ,1, 
33406575,UNCG:Mamm:1182,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39992703,-114.628889,2677,subadult,ectoparasite,ectoparasite, ,1, 
33406590,UNCG:Mamm:1168,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39992703,-114.628888,2677,adult,ectoparasite,,ectoparasite  ,,0
33406585,UNCG:Mamm:1189,Tamias umbrinus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39988897,-114.628733,2582,adult,ectoparasite,ectoparasite, ,1, 
33406545,UNCG:Mamm:1133,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39990699,-114.628602,2624,adult,ectoparasite,,ectoparasite  ,,0
33406568,UNCG:Mamm:1180,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39982703,-114.62859,2683,adult,ectoparasite,ectoparasite, ,1, 
33406578,UNCG:Mamm:3189,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39981496,-114.6285,2682,,ectoparasite,ectoparasite, ,1, 
33406534,UNCG:Mamm:1132,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39989601,-114.628264,2622,adult,ectoparasite,ectoparasite, ,1, 
33406595,UNCG:Mamm:1178,Sorex navigator,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39986701,-114.628259,2688,adult,ectoparasite,,ectoparasite  ,,0
33406559,UNCG:Mamm:1145,Sorex monticolus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39927902,-114.628165,2628,adult,ectoparasite,,ectoparasite  ,,0
33406552,UNCG:Mamm:1156,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39980197,-114.628151,2660,adult,ectoparasite,ectoparasite, ,1, 
33406565,UNCG:Mamm:1155,Peromyscus maniculatus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39979803,-114.628151,2660,adult,ectoparasite,,ectoparasite  ,,0
33406561,UNCG:Mamm:1146,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39932303,-114.628125,2628,adult,ectoparasite,,ectoparasite  ,,0
33406574,UNCG:Mamm:1179,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39985704,-114.628095,2689,adult,ectoparasite,ectoparasite, ,1, 
33406601,UNCG:Mamm:3188,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.399836,-114.628056,2689,adult,ectoparasite,,ectoparasite  ,,0
33406553,UNCG:Mamm:1159,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.399836,-114.627754,2661,adult,ectoparasite,ectoparasite, ,1, 
33406573,UNCG:Mamm:1177,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39986198,-114.627711,2695,subadult,ectoparasite,ectoparasite, ,1, 
33406526,UNCG:Mamm:1125,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39973298,-114.627683,2659,adult,ectoparasite,ectoparasite, ,1, 
33406609,UNCG:Mamm:1200,Microtus montanus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.399736,-114.627506,2657,adult,ectoparasite,ectoparasite, ,1, 
33406571,UNCG:Mamm:1167,Sorex vagrans,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.39977498,-114.627492,2701,,ectoparasite,ectoparasite, ,1, 
33406554,UNCG:Mamm:1160,Microtus longicaudus,USA,Nevada,"Humboldt-Toiyabe National Forest, 2.75 km WSW North Schell Peak, Timber Creek",39.399822,-114.627473,2664,adult,ectoparasite,ectoparasite, ,1, 
